,nodes_pred,nodes_Conv_clas,nodes_Dense_clas,kernel_size,strides,learning_rate_pred,learning_rate_clas,batch_sizes_pred,batch_sizes_clas,val_treshold_pred,val_treshold_clas,max_val_amount_pred,max_val_amount_clas,val_freq_pred,val_freq_clas,EPOCHS_pred,EPOCHS_clas,time_steps,trials,brain_areas,mse_pred,mse_clas,true_positive_clas,true_negative_clas,STOP_pred,STOP_clas,time,brain_area
335,100,35,15,2,3,0.005,0.0001,50,10,1e-09,1e-10,200,50,50,10,30,25,100,1000,1000,0.031101559648015142,0.2216893453392991,0.0,1.0,Max val increment,Max val increment,25.594521045684814,231
336,50,15,5,6,3,5e-06,5e-05,25,25,1e-08,1e-08,200,100,50,5,15,15,100,1000,1000,0.019781610304711244,0.2546533601470325,1.0,0.0,Max_epochs,Max Epochs,41.421119928359985,231
337,50,15,5,6,3,1e-06,5e-05,25,25,1e-09,1e-08,100,100,50,5,20,15,100,1000,1000,0.025375822256923655,0.22251142140925503,0.0,1.0,Max_epochs,Max Epochs,47.715118169784546,231
338,75,45,20,2,1,5e-06,5e-05,100,50,1e-09,1e-10,200,100,50,5,40,25,100,1000,1000,0.015520181374983085,0.20689889137861164,0.0,1.0,Max_epochs,Max Epochs,37.417282819747925,231
339,50,15,5,2,3,1e-05,0.0001,50,5,1e-08,1e-08,200,50,50,5,15,20,100,1000,1000,0.01864129482599469,0.07250782826765755,1.0,0.9970014992503748,Max_epochs,Max val increment,32.26617121696472,231
340,125,15,5,2,3,5e-06,0.0001,25,5,1e-09,1e-08,200,50,50,5,15,20,100,1000,1000,0.016806701958702333,0.09557166653762945,0.0,1.0,Max_epochs,Max val increment,48.81194710731506,231
341,50,35,10,6,3,0.005,1e-05,25,25,1e-09,1e-10,200,100,50,5,20,15,100,1000,1000,0.028731599534930957,0.26359956827233555,1.0,0.0,Max val increment,Max Epochs,23.029503107070923,231
342,75,35,10,6,3,1e-06,1e-05,100,25,1e-09,1e-10,100,100,50,5,40,15,100,1000,1000,0.02199514417987023,0.22895419728463462,0.0,1.0,Max_epochs,Max Epochs,36.56783890724182,231
343,50,25,5,2,3,5e-06,5e-05,50,25,1e-08,1e-08,200,50,50,5,15,25,100,1000,1000,0.022087171048387973,0.22477189575076714,0.0,1.0,Max_epochs,Max val increment,30.99242115020752,231
344,50,15,20,6,1,1e-05,0.0001,25,50,1e-09,1e-10,200,100,50,10,30,15,100,1000,1000,0.019010942927165726,0.19112854418936742,0.0,1.0,Max_epochs,Max Epochs,62.23095703125,231
345,75,15,5,2,3,5e-06,5e-05,25,5,1e-09,1e-08,200,50,50,5,15,25,100,1000,1000,0.02124875623348533,0.22070520459797086,0.0,1.0,Max_epochs,Max val increment,41.509145975112915,231
346,50,35,15,8,3,0.005,0.005,50,25,1e-09,1e-10,100,100,50,2,20,35,100,1000,1000,0.03526547501121562,0.2353379646125784,0.0,1.0,Max val increment,Max val increment,21.924837350845337,231
347,125,15,5,10,2,0.0001,5e-05,25,10,1e-08,1e-08,200,100,50,5,40,15,100,1000,1000,0.019420654017103346,0.14916141123125698,0.0,1.0,Max val increment,Max Epochs,40.90183115005493,231
348,50,15,20,10,2,0.0001,1e-05,100,25,1e-09,1e-10,200,50,50,5,15,25,100,1000,1000,0.01978128381333596,0.2280795508733342,0.009009009009009009,1.0,Max_epochs,Max Epochs,25.559389114379883,231
349,75,40,10,10,2,0.0001,0.0001,25,50,1e-09,1e-08,200,100,50,10,25,20,100,1000,1000,0.018932520575111706,0.030371081038862945,0.9099099099099099,0.9970014992503748,Max val increment,Max Epochs,34.271751165390015,231
350,50,35,10,10,2,0.0001,0.0001,25,50,1e-08,1e-08,200,100,50,10,25,20,100,1000,1000,0.01643372120954978,0.09611883337120769,0.5225225225225225,1.0,Max val increment,Max Epochs,40.939125061035156,231
351,150,15,5,2,2,0.0001,5e-05,50,5,1e-09,1e-10,200,50,50,10,25,40,100,1000,1000,0.019355962461672177,0.22920760364883222,0.0,1.0,Max_epochs,Max val increment,44.69470000267029,231
352,50,15,20,10,2,0.0001,0.0001,25,25,1e-09,1e-08,100,100,50,10,25,20,100,1000,1000,0.01869685170964814,0.006077996226770663,0.993993993993994,0.9940029985007496,Max val increment,Max Epochs,27.84188413619995,231
353,50,15,20,10,2,0.0001,0.0001,100,25,1e-09,1e-08,200,100,50,10,25,20,100,1000,1000,0.020636042293263157,0.00905569641975988,0.984984984984985,0.9970014992503748,Max_epochs,Max Epochs,30.088971853256226,231
354,75,15,20,10,2,0.0001,0.0001,25,25,1e-08,1e-08,200,100,50,10,25,20,100,1000,1000,0.018699156094379506,0.029138443525788225,0.996996996996997,0.9850074962518741,Max val increment,Max Epochs,33.78335905075073,231
355,100,15,20,10,2,1e-06,0.0001,50,25,1e-09,1e-08,200,100,50,10,25,20,100,1000,1000,0.022286915665126392,0.07656568979020975,0.8798798798798799,0.967016491754123,Max_epochs,Max Epochs,41.72192406654358,231
356,50,15,20,10,2,1e-05,0.0001,25,25,1e-10,1e-08,100,100,25,10,25,20,100,1000,1000,0.020048915777964728,0.06676994879799261,0.6426426426426426,1.0,Max val increment,Max Epochs,38.53304982185364,231
357,50,30,5,10,2,5e-06,0.0001,25,25,1e-09,1e-08,200,100,50,10,25,20,100,1000,1000,0.017409295433295745,0.09754368157344083,0.918918918918919,1.0,Max_epochs,Max Epochs,54.33647918701172,231
358,75,15,5,10,2,0.0001,0.0001,50,25,1e-09,1e-08,200,100,50,10,25,20,100,1000,1000,0.0192168831647486,0.06045575563525388,0.9039039039039038,0.9985007496251874,Max val increment,Max Epochs,31.60671830177307,231
359,50,15,5,10,2,0.0001,0.0001,100,25,1e-08,1e-08,200,100,50,10,15,20,100,1000,1000,0.020390357009923893,0.22373421464712373,0.0,1.0,Max_epochs,Max Epochs,25.91795516014099,231
360,125,20,25,4,1,5e-05,0.005,100,10,1e-10,1e-09,50,200,50,2,35,40,100,1000,1000,0.01711515486564518,0.0720461644039962,0.9099099099099099,1.0,Max val increment,Max val increment,32.36577796936035,231
361,50,45,25,4,1,0.005,0.005,200,10,1e-08,1e-09,100,200,100,5,20,35,100,1000,1000,0.8249422584580987,0.23378743919771233,0.12312312312312312,0.8905547226386806,Max_epochs,Max val increment,25.815234899520874,231
362,75,20,15,8,1,1e-05,0.005,25,10,1e-10,1e-09,50,200,25,5,15,20,100,1000,1000,0.019260635820965582,0.00370920315299573,0.996996996996997,0.9955022488755623,Max val increment,Max val increment,31.092013835906982,231
363,75,20,15,8,1,5e-05,0.005,50,10,1e-10,1e-09,200,200,25,5,15,20,100,1000,1000,0.015436536477747866,0.18490776691064378,0.006006006006006006,1.0,Max val increment,Max val increment,32.483338832855225,231
364,125,45,15,4,1,1e-05,5e-05,25,10,1e-10,1e-09,200,200,25,5,15,20,100,1000,1000,0.018588124217422897,0.07696209092504486,1.0,0.9970014992503748,Max val increment,Max Epochs,45.19898009300232,231
