;mse_pred;mse_clas;truepositive_clas;truenegative_clas;STOP;STOP_clas
510;0.3297849782138096;0.002626439253842669;1.0;0.9955022488755623;Max val increment;Max val increment
511;0.38768938305678124;0.004124412140608074;0.996996996996997;0.9955022488755623;Max val increment;Max val increment
512;0.3885932146483545;0.006413755368745701;1.0;0.992503748125937;Max val increment;Max val increment
513;0.3839756725557341;0.007309774476172219;1.0;0.9865067466266867;Max val increment;Max val increment
514;0.4277365741656563;0.014587000879437791;0.990990990990991;0.974512743628186;Max val increment;Max val increment
515;0.33544157213806897;0.007607341342697996;0.990990990990991;0.9910044977511244;Max val increment;Max val increment
516;0.3703632361018905;1,15E+11;1.0;1.0;Max val increment;Max val increment
517;0.4157193162132704;0.015548160223927424;1.0;0.974512743628186;Max val increment;Max val increment
518;0.36654487106123584;0.010701725536550704;1.0;0.9835082458770614;Max val increment;Max val increment
519;0.38706801967831256;0.00604972387118591;0.987987987987988;0.9955022488755623;Max val increment;Max val increment
520;0.3504348259162229;4,97E+10;1.0;1.0;Max val increment;Max val increment
521;0.3417822689603708;0.00281900189272759;1.0;0.9955022488755623;Max val increment;Max val increment
522;0.3711453174399235;0.005764741442177241;1.0;0.9910044977511244;Max val increment;Max val increment
523;0.37259560167860184;0.006575984526982626;1.0;0.9895052473763118;Max val increment;Max val increment
524;0.3647376187488675;0.0017020959287948818;0.996996996996997;0.9985007496251874;Max val increment;Max val increment
525;0.3952532530072005;0.006126588478983419;1.0;0.9910044977511244;Max val increment;Max val increment
526;0.38802752743028074;0.006557159088453725;0.990990990990991;0.992503748125937;Max val increment;Max val increment
527;0.4853061544698829;0.027625871544503508;0.978978978978979;0.9580209895052474;Max val increment;Max val increment
528;0.60594238097812;0.2210529835448583;0.0;1.0;Max val increment;Max val increment
529;0.38899633318017657;0.005760102290209374;0.996996996996997;0.992503748125937;Max val increment;Max val increment
530;0.4393193997414156;0.01718146183814041;0.9819819819819819;0.9805097451274363;Max val increment;Max val increment
531;0.454430740725088;0.01057878259637179;1.0;0.9820089955022488;Max val increment;Max val increment
532;0.40381804409689603;0.009181350771392757;0.993993993993994;0.9880059970014993;Max val increment;Max val increment
533;0.3941975284916588;0.0068166033277283;1.0;0.9895052473763118;Max val increment;Max val increment
534;0.6384415056410385;0.2190497723617745;0.0;1.0;Max val increment;Max val increment
535;0.4114532049807939;0.01923427947267985;0.960960960960961;0.9820089955022488;Max val increment;Max val increment
536;0.48914875534641644;0.024344836130992295;0.996996996996997;0.95952023988006;Max val increment;Max val increment
537;0.460308112475285;0.020260651804995165;0.975975975975976;0.9775112443778111;Max val increment;Max val increment
538;0.4651397701224836;0.019845802936840896;0.987987987987988;0.9730134932533733;Max val increment;Max val increment
539;0.43290095508173276;0.012752785151461455;0.996996996996997;0.9790104947526237;Max val increment;Max val increment
540;0.531793007212488;0.03600068185476644;0.960960960960961;0.9640179910044977;Max val increment;Max val increment
541;0.6440034024131348;0.22226450807239348;0.0;1.0;Max val increment;Max val increment
542;0.5116740269264675;0.04978399232100496;0.9129129129129129;0.9610194902548725;Max val increment;Max val increment
543;0.4482062582655737;0.030438035850254327;0.993993993993994;0.9535232383808095;Max val increment;Max val increment
544;0.49976943780517935;0.024658855971934138;0.948948948948949;0.9775112443778111;Max val increment;Max val increment
545;0.42736282282812316;0.0038096831289736693;1.0;0.9940029985007496;Max val increment;Max val increment
546;0.4564652326635184;0.015623142620008964;0.984984984984985;0.9820089955022488;Max val increment;Max val increment
547;0.3866639996928585;0.0051262182749997635;1.0;0.9955022488755623;Max val increment;Max val increment
548;0.5196795180489608;0.19341968323342076;0.07207207207207207;0.992503748125937;Max val increment;Max val increment
549;0.4367216606405245;0.026851503579037556;0.8978978978978979;0.9955022488755623;Max val increment;Max val increment
550;0.4436545862132307;0.015439848190952184;0.993993993993994;0.9790104947526237;Max val increment;Max val increment
551;0.47195200669973675;0.02846285920847276;0.963963963963964;0.9715142428785607;Max val increment;Max val increment
